Nome,Custo_Producao_R$/ha,Produtividade_t/ha,Ciclo_dias,Requisito_Agua_mm,Retorno_Financeiro_R$/ha,Lucro_R$/ha,Epoca_Plantio,Regiao_Adaptada,Compatibilidade_Positiva,Compatibilidade_Negativa,Tipo_Cultura,pH_Solo_Min,pH_Solo_Max,Temperatura_Min_C,Temperatura_Max_C,Espaco_Minimo_m2_por_Planta_ou_Area_minima_por_hectare
Milho,4200,8.5,120,650,12750,8550,Out-Dez,CO;SE;S,Soja;Feijão;Amendoim,Girassol;Algodão,Cereal,5.5,7.0,18,35,0.15
Soja,3800,3.4,110,500,11900,8100,Set-Nov,CO;S;SE,Milho;Sorgo;Amendoim,Feijão;Girassol,Leguminosa,6.0,7.5,20,32,0.07
Feijão,4500,2.2,85,450,13200,8700,Abr-Jun;Ago-Set,Todas,Milho;Mandioca;Amendoim,Soja;Girassol,Leguminosa,6.0,7.0,18,28,0.05
Sorgo,2800,5.2,110,400,9360,6560,Out-Dez,NE;CO,Soja;Milho;Algodão,Mandioca;Feijão,Cereal,5.5,7.0,20,30,0.10
Mandioca,2500,25.0,365,800,15000,12500,Set-Mar,N;NE;SE,Milho;Feijão;Amendoim,Soja;Algodão,Tuberculo,5.0,6.5,20,30,1.0
Algodão,6000,4.0,150,800,18000,12000,Nov-Dez,CO;NE,Milho;Sorgo;Aveia,Soja;Mandioca,Fibra,6.0,7.0,22,35,0.20
Trigo,3000,3.0,140,500,9000,6000,Mai-Jul,S;SE,Soja;Aveia;Cevada,Milho;Sorgo,Cereal,5.5,7.0,10,25,0.02
Cevada,2800,3.5,130,450,9800,7000,Mai-Jul,S,Trigo;Aveia,Milho;Soja,Cereal,6.0,7.5,10,25,0.02
Aveia,2400,4.5,90,400,7200,4800,Mar-Mai,S,Trigo;Soja,Milho;Sorgo,Cereal,5.5,7.0,10,25,0.02
Café,12000,2.5,1095,1200,37500,25500,Out-Dez,SE;S,Feijão;Milho,Eucalipto,Perene,6.0,6.8,18,25,2.0
Eucalipto,8000,35.0,2555,800,28000,20000,Set-Mar,Todas,Café,Culturas_Anuais,Florestal,5.5,7.0,12,30,3.0
Banana,15000,25.0,365,1800,50000,35000,Ano_Todo,N;NE;SE,Café;Cacau,Citros,Perene,6.0,7.5,20,30,3.0
Cacau,18000,1.2,1095,1500,36000,18000,Set-Mar,N;NE,Banana;Seringueira,Café,Perene,6.0,7.0,22,32,4.0
Laranja,10000,30.0,730,1200,30000,20000,Jun-Ago,SE;S,Café;Goiaba,Banana,Perene,5.5,6.5,15,30,16.0
Limão,9000,25.0,730,1100,27000,18000,Jun-Ago,SE;S,Café;Goiaba,Banana,Perene,5.5,6.5,15,30,16.0
Uva,20000,15.0,365,900,60000,40000,Ago-Out,S,Culturas_de_cobertura,Culturas_competidoras,Frutifera,6.0,7.0,15,30,4.0
Maçã,22000,30.0,365,1000,65000,43000,Jun-Set,S,Culturas_de_cobertura,Ameixa,Frutifera,6.0,7.0,10,25,12.0
Pêssego,18000,20.0,365,900,50000,32000,Jun-Set,S,Culturas_de_cobertura,Nectarina,Frutifera,6.0,7.0,15,28,12.0
Cana_de_Acucar,5000,80.0,365,1200,18000,13000,Fev-Abr,SE;CO,Soja;Amendoim,Milho;Sorgo,Industrial,5.5,7.0,20,35,0.50
Alho,15000,8.0,150,450,45000,30000,Mar-Mai,S;SE,Cenoura;Beterraba,Cebola;Batata,Olericola,6.0,7.5,10,25,0.03
Cenoura,8000,30.0,100,350,24000,16000,Ano_Todo,Todas,Alface;Rabanete,Batata;Tomate,Olericola,6.0,7.0,15,25,0.02
Beterraba,7000,25.0,90,300,21000,14000,Ano_Todo,Todas,Cenoura;Alface,Batata;Tomate,Olericola,6.0,7.0,15,25,0.05
Pimentão,18000,35.0,120,500,54000,36000,Ano_Todo,Todas,Milho;Feijão(rotação),Tomate;Batata,Olericola,5.5,6.8,20,32,0.30
Abacaxi,12000,60.0,540,1500,36000,24000,Ano_Todo,N;NE,Cana_de_Acucar,Banana,Frutifera,4.5,6.0,22,35,0.50
Coco,15000,5.0,1825,1800,45000,30000,Ano_Todo,N;NE,Cacau,Banana,Frutifera,6.0,7.0,25,35,60.0
Mamão,10000,50.0,365,1500,30000,20000,Ano_Todo,N;NE;SE,Banana,Maracuja,Frutifera,5.5,7.0,22,32,4.0
Maracujá,13000,25.0,365,1200,39000,26000,Ano_Todo,Todas,Milho(rotação),Abóbora,Frutifera,5.5,7.0,20,30,4.0
Girasol,4000,2.0,100,500,8000,4000,Set-Nov,CO;S,Milho;Sorgo,Soja;Feijão,Oleaginosa,6.0,7.5,18,30,0.25
Arroz,5500,4.0,130,700,11000,5500,Out-Dez,Sul;CO,Leguminosas(rotação),Milho,Cereal,5.0,6.5,20,35,0.01
Batata,20000,30.0,110,400,60000,40000,Varias,SE;Sul,Milho;Feijão(rotação),Tomate;Cebola,Tuberculo,5.0,6.0,15,25,0.15
Cebola,18000,30.0,150,350,54000,36000,Abr-Jul,Sul;SE,Cenoura;Alface,Feijão;Batata,Olericola,6.0,7.0,15,25,0.05
Tomate,30000,80.0,100,550,90000,60000,Ano_Todo,Todas,Cenoura;Alface(rotação),Batata;Pimentão,Olericola,6.0,6.8,20,30,0.50
Alface,15000,30.0,45,250,30000,15000,Ano_Todo,Todas,Cenoura;Rabanete,Brócolis;Repolho,Olericola,6.0,7.0,15,25,0.04
Seringueira,25000,2.0,2920,2000,75000,50000,Set-Mar,N;NE;CO,Cacau,Culturas_Anuais,Florestal,4.5,6.0,22,35,20.0
Pimenta_do_Reino,20000,3.0,1095,1800,60000,40000,Inic_Chuvas,N;NE,Inhame,Culturas_Sombra,Especiaria,5.5,6.5,20,32,6.0
Goiaba,16000,30.0,365,1000,48000,32000,Chuvas,Todas,Culturas_de_cobertura,Maracuja,Frutifera,5.5,7.0,18,30,9.0
Araticum,8000,15.0,730,800,25000,17000,Set-Nov,CO;SE;N,Culturas_Nativas,Exoticas_Competitivas,Frutifera,5.0,6.5,20,30,16.0
Açaí,18000,10.0,1095,2500,60000,42000,Ano_Todo,N,Seringueira;Cacau,Mandioca,Frutifera,4.0,6.0,25,35,16.0
Pupunha,15000,12.0,730,2000,45000,30000,Ano_Todo,N;NE,Seringueira;Cacau,Culturas_Sombra,Frutifera,5.0,6.5,22,35,9.0
Guaraná,10000,0.8,1095,1500,30000,20000,Set-Nov,N,Culturas_Nativas,Exoticas_Competitivas,Frutifera,4.5,6.0,22,30,16.0
Caju,8000,2.5,730,1000,25000,17000,Mai-Ago,NE,Culturas_de_cobertura,Manga,Frutifera,5.0,6.5,25,35,60.0
Manga,12000,25.0,730,1200,40000,28000,Set-Nov,NE;SE,Caju,Abacaxi,Frutifera,5.5,7.0,24,35,60.0
Abacate,11000,20.0,730,1100,35000,24000,Ago-Nov,SE;S,Culturas_de_cobertura,Citros,Frutifera,5.0,6.5,20,30,36.0
Inhame,7000,20.0,240,600,21000,14000,Set-Nov,N;NE;SE,Mandioca,Batata,Tuberculo,5.0,6.5,20,30,0.50
Gengibre,9000,15.0,270,700,27000,18000,Set-Nov,SE;S,Culturas_de_cobertura,Milho,Especiaria,5.5,6.5,20,30,0.25
Pimenta_(outras_variedades),6000,10.0,120,400,18000,12000,Ano_Todo,Todas,Tomate;Cenoura,Batata,Olericola,5.5,7.0,20,30,0.20
Brócolis,7000,15.0,90,350,21000,14000,Ano_Todo,Todas,Alface;Cenoura,Couve,Olericola,6.0,7.0,15,25,0.30
Couve-flor,7500,12.0,100,400,22500,15000,Ano_Todo,Todas,Alface;Cenoura,Brócolis,Olericola,6.0,7.0,15,25,0.30
Espinafre,4000,8.0,40,200,12000,8000,Ano_Todo,Todas,Rabanete;Alface,Cebola,Olericola,6.0,7.5,15,25,0.05
Couve,5000,10.0,60,250,15000,10000,Ano_Todo,Todas,Cenoura;Alface,Brócolis;Couve-flor,Olericola,6.0,7.0,15,25,0.20
Rabanete,3000,5.0,30,150,9000,6000,Ano_Todo,Todas,Alface;Cenoura,Cebola,Olericola,6.0,7.0,15,25,0.01
Grão_de_bico,3500,1.8,100,400,10800,7300,Fev-Abr,CO;SE,Milho;Sorgo,Feijão,Leguminosa,6.0,7.5,18,28,0.05
Lentilha,3200,1.5,90,350,9600,6400,Mar-Mai,S;SE,Trigo;Aveia,Feijão,Leguminosa,6.0,7.0,15,25,0.03
Amendoim,4000,2.0,120,500,12000,8000,Set-Nov,CO;SP,Milho;Soja,Feijão,Oleaginosa,5.8,7.0,20,30,0.10
Gergelim,3000,1.0,90,300,9000,6000,Fev-Abr,NE;CO,Milho;Sorgo,Feijão,Oleaginosa,5.5,7.5,22,35,0.10
Linhaça,2800,1.2,100,350,8400,5600,Mar-Mai,S;SE,Trigo;Aveia,Soja,Oleaginosa,6.0,7.0,15,28,0.05
Pinus,7000,40.0,5475,800,32000,25000,Set-Mar,S;SE,Eucalipto,Culturas_Anuais,Florestal,5.0,6.5,10,30,9.0
Acácia,6000,30.0,3650,700,24000,18000,Set-Mar,NE;SE,Eucalipto,Culturas_Anuais,Florestal,4.5,6.0,18,35,9.0
Pitaya,15000,10.0,730,1000,45000,30000,Set-Nov,NE;SE,Culturas_de_cobertura,Nenhuma,Frutifera,6.0,7.0,20,35,9.0
Caju_Anão,10000,3.0,365,800,30000,20000,Mai-Ago,NE,Culturas_de_cobertura,Manga,Frutifera,5.0,6.5,25,35,25.0
Graviola,12000,8.0,1095,1500,36000,24000,Set-Nov,N;NE,Cacau,Nenhuma,Frutifera,5.5,7.0,22,32,25.0
Jatobá,8000,1.5,7300,1500,24000,16000,Set-Mar,N;CO,Culturas_Nativas,Exoticas_Competitivas,Florestal,5.0,6.5,20,30,100.0
Pecan,18000,2.0,3650,1000,60000,42000,Jul-Set,S,Culturas_de_cobertura,Nenhuma,Oleaginosa_Perene,6.0,7.5,10,25,100.0
Couve_Chinesa,4500,10.0,50,250,13500,9000,Ano_Todo,Todas,Alface;Rabanete,Brócolis;Couve-flor,Olericola,6.0,7.0,15,25,0.10
Rúcula,3500,6.0,30,150,10500,7000,Ano_Todo,Todas,Alface;Cenoura,Nenhuma,Olericola,6.0,7.0,15,25,0.03
Salsa,4000,5.0,60,200,12000,8000,Ano_Todo,Todas,Cebolinha;Coentro,Nenhuma,Olericola,6.0,7.0,15,25,0.05
Cebolinha,4000,4.0,60,200,12000,8000,Ano_Todo,Todas,Salsa;Coentro,Nenhuma,Olericola,6.0,7.0,15,25,0.05
Coentro,3800,3.0,40,180,11400,7600,Ano_Todo,Todas,Salsa;Cebolinha,Nenhuma,Olericola,6.0,7.0,20,30,0.03